iter	Passed	Remaining
0	132	132730
1	133	66701
2	134	44644
3	135	33635
4	135	27012
5	136	22609
6	137	19482
7	138	17118
8	138	15279
9	139	13816
10	140	12625
11	141	11643
12	143	10862
13	143	10136
14	144	9501
15	145	8971
16	146	8482
17	147	8052
18	148	7663
19	149	7307
20	149	6981
21	150	6686
22	151	6423
23	151	6175
24	152	5945
25	153	5733
26	153	5539
27	154	5364
28	155	5194
29	155	5043
30	157	4936
31	158	4804
32	160	4688
33	160	4572
34	161	4459
35	162	4353
36	163	4253
37	164	4155
38	164	4063
39	165	3977
40	166	3899
41	167	3821
42	168	3744
43	168	3670
44	169	3600
45	170	3536
46	172	3492
47	173	3441
48	174	3387
49	175	3331
50	176	3279
51	176	3226
52	177	3177
53	178	3128
54	179	3081
55	180	3037
56	180	2994
57	181	2952
58	182	2910
59	183	2873
60	184	2835
61	184	2798
62	186	2768
63	187	2744
64	189	2720
65	190	2693
66	191	2662
67	192	2635
68	193	2606
69	194	2580
70	195	2553
71	195	2524
72	196	2497
73	197	2471
74	198	2445
75	199	2421
76	200	2397
77	200	2375
78	202	2355
79	203	2341
80	204	2319
81	205	2298
82	205	2272
83	206	2252
84	207	2234
85	208	2215
86	209	2196
87	210	2179
88	211	2160
89	212	2144
90	212	2127
91	213	2110
92	214	2092
93	215	2076
94	217	2068
95	218	2060
96	220	2048
97	221	2037
98	222	2024
99	223	2012
100	224	1997
101	225	1984
102	226	1970
103	227	1957
104	228	1944
105	228	1930
106	229	1918
107	230	1905
108	232	1896
109	233	1886
110	234	1874
111	235	1863
112	235	1851
113	236	1841
114	237	1830
115	238	1819
116	239	1806
117	240	1795
118	241	1785
119	241	1774
120	242	1763
121	243	1751
122	244	1743
123	245	1736
124	247	1729
125	248	1722
126	249	1712
127	250	1704
128	251	1697
129	252	1690
130	253	1682
131	254	1674
132	255	1666
133	256	1657
134	257	1649
135	258	1641
136	259	1633
137	261	1631
138	262	1629
139	264	1622
140	264	1614
141	265	1604
142	266	1597
143	267	1589
144	268	1581
145	269	1573
146	269	1566
147	270	1559
148	271	1552
149	272	1546
150	273	1540
151	274	1533
152	276	1528
153	277	1525
154	279	1522
155	280	1516
156	281	1511
157	282	1506
158	283	1501
159	284	1495
160	285	1487
161	286	1481
162	287	1475
163	288	1469
164	289	1465
165	290	1460
166	292	1458
167	293	1454
168	294	1448
169	295	1443
170	296	1438
171	298	1434
172	299	1431
173	300	1428
174	301	1423
175	302	1417
176	303	1412
177	305	1408
178	306	1405
179	308	1403
180	309	1399
181	310	1396
182	311	1392
183	313	1390
184	314	1387
185	316	1383
186	317	1378
187	318	1374
188	319	1370
189	320	1366
190	321	1363
191	323	1361
192	324	1356
193	325	1352
194	326	1348
195	327	1343
196	328	1339
197	329	1335
198	330	1330
199	331	1325
200	332	1321
201	333	1317
202	334	1314
203	336	1311
204	337	1309
205	339	1307
206	340	1304
207	341	1300
208	342	1297
209	344	1294
210	345	1290
211	346	1287
212	347	1283
213	348	1280
214	349	1276
215	350	1273
216	352	1271
217	354	1269
218	355	1266
219	356	1262
220	357	1259
221	358	1256
222	359	1253
223	360	1249
224	361	1246
225	362	1243
226	364	1239
227	365	1235
228	366	1232
229	367	1230
230	369	1228
231	370	1225
232	371	1223
233	372	1220
234	374	1218
235	375	1214
236	376	1211
237	377	1208
238	378	1205
239	379	1202
240	380	1199
241	382	1198
242	383	1196
243	385	1193
244	386	1189
245	387	1186
246	388	1183
247	389	1180
248	390	1178
249	391	1174
250	392	1172
251	393	1169
252	395	1166
253	396	1164
254	398	1164
255	400	1162
256	401	1160
257	402	1158
258	404	1156
259	405	1153
260	406	1151
261	408	1149
262	409	1147
263	410	1144
264	412	1143
265	413	1140
266	414	1138
267	415	1134
268	416	1132
269	417	1129
270	418	1126
271	419	1123
272	421	1121
273	422	1118
274	423	1115
275	424	1113
276	425	1110
277	427	1109
278	428	1107
279	430	1105
280	431	1103
281	432	1101
282	433	1099
283	434	1096
284	436	1094
285	437	1091
286	438	1088
287	439	1086
288	440	1084
289	442	1084
290	444	1082
291	445	1079
292	446	1077
293	447	1074
294	448	1072
295	449	1069
296	450	1067
297	451	1064
298	453	1062
299	454	1059
300	455	1058
301	457	1057
302	459	1056
303	460	1054
304	461	1052
305	463	1051
306	464	1048
307	465	1045
308	466	1043
309	467	1040
310	468	1038
311	469	1036
312	471	1034
313	472	1033
314	473	1030
315	475	1028
316	476	1026
317	477	1023
318	478	1021
319	479	1018
320	480	1016
321	481	1013
322	482	1011
323	483	1009
324	484	1007
325	486	1005
326	488	1004
327	489	1003
328	491	1001
329	492	999
330	493	997
331	494	995
332	495	993
333	497	991
334	498	989
335	499	987
336	501	986
337	502	985
338	503	982
339	505	980
340	506	979
341	508	977
342	509	975
343	510	973
344	511	971
345	513	970
346	514	968
347	516	967
348	517	966
349	519	965
350	521	963
351	522	961
352	523	959
353	524	957
354	526	955
355	527	954
356	528	952
357	530	951
358	532	950
359	533	949
360	535	947
361	536	945
362	537	944
363	539	942
364	540	940
365	541	938
366	542	936
367	544	934
368	548	937
369	549	936
370	551	935
371	553	933
372	554	931
373	555	929
374	557	928
375	561	931
376	563	931
377	566	931
378	567	930
379	569	928
380	570	927
381	573	927
382	575	927
383	578	928
384	580	927
385	582	926
386	584	925
387	585	924
388	587	922
389	590	924
390	594	925
391	595	924
392	597	922
393	598	920
394	599	918
395	601	917
396	603	916
397	605	915
398	607	915
399	609	913
400	610	912
401	612	910
402	613	908
403	614	906
404	615	904
405	617	902
406	619	903
407	622	903
408	624	901
409	625	899
410	626	898
411	627	896
412	629	894
413	630	892
414	631	890
415	633	888
416	635	887
417	637	887
418	639	886
419	640	884
420	641	882
421	642	880
422	643	878
423	644	876
424	645	873
425	647	872
426	649	870
427	650	870
428	652	868
429	653	866
430	654	864
431	656	862
432	657	860
433	658	858
434	659	856
435	660	854
436	661	852
437	663	851
438	666	851
439	667	849
440	669	848
441	670	846
442	671	844
443	672	842
444	673	840
445	675	838
446	676	836
447	678	836
448	680	835
449	682	834
450	683	832
451	684	830
452	685	827
453	686	825
454	688	824
455	689	822
456	690	820
457	691	818
458	693	817
459	696	817
460	697	815
461	699	814
462	700	812
463	701	810
464	702	808
465	704	806
466	705	804
467	706	803
468	707	801
469	709	800
470	711	799
471	712	797
472	713	795
473	714	793
474	715	791
475	717	789
476	718	787
477	719	785
478	720	783
479	721	782
480	723	781
481	726	780
482	727	778
483	729	777
484	730	775
485	731	774
486	732	772
487	734	770
488	735	768
489	737	767
490	739	766
491	741	765
492	742	763
493	743	761
494	744	759
495	745	757
496	746	755
497	747	754
498	749	752
499	750	750
500	752	749
501	754	748
502	756	747
503	757	745
504	758	743
505	760	742
506	761	740
507	763	739
508	764	737
509	766	736
510	768	735
511	770	734
512	772	732
513	773	731
514	774	729
515	775	727
516	776	725
517	777	723
518	779	722
519	780	720
520	782	719
521	784	718
522	786	716
523	787	715
524	789	714
525	790	712
526	791	710
527	792	708
528	793	706
529	795	705
530	797	704
531	799	703
532	807	707
533	808	705
534	809	703
535	811	702
536	815	702
537	817	701
538	818	700
539	819	698
540	820	696
541	822	694
542	823	693
543	825	691
544	827	690
545	829	689
546	830	687
547	831	686
548	832	684
549	834	682
550	835	680
551	836	678
552	837	676
553	838	674
554	839	673
555	840	671
556	843	670
557	844	669
558	846	667
559	847	665
560	848	664
561	849	662
562	850	660
563	852	658
564	853	657
565	855	655
566	857	654
567	859	653
568	861	652
569	862	650
570	864	649
571	865	647
572	866	645
573	867	644
574	868	642
575	870	640
576	872	639
577	874	638
578	876	637
579	877	635
580	878	633
581	879	631
582	880	630
583	881	628
584	883	626
585	884	624
586	886	623
587	888	622
588	889	620
589	890	619
590	892	617
591	893	615
592	894	614
593	895	612
594	897	610
595	898	608
596	899	607
597	902	606
598	904	605
599	905	603
600	907	602
601	908	600
602	909	598
603	910	597
604	911	595
605	913	593
606	915	592
607	917	591
608	919	590
609	920	588
610	921	586
611	923	585
612	924	583
613	925	581
614	926	580
615	928	578
616	931	578
617	933	577
618	935	575
619	936	574
620	937	572
621	938	570
622	940	568
623	941	567
624	942	565
625	944	564
626	947	563
627	949	562
628	950	560
629	951	558
630	952	557
631	953	555
632	955	553
633	956	551
634	957	550
635	958	548
636	961	547
637	963	546
638	964	544
639	965	543
640	967	542
641	968	540
642	970	538
643	971	536
644	972	535
645	973	533
646	976	532
647	977	531
648	978	529
649	980	527
650	981	526
651	982	524
652	983	522
653	984	520
654	986	519
655	987	517
656	989	516
657	991	515
658	992	513
659	993	512
660	995	510
661	996	508
662	997	507
663	998	505
664	999	503
665	1001	502
666	1002	500
667	1003	498
668	1005	497
669	1006	495
670	1007	494
671	1008	492
672	1010	490
673	1011	489
674	1012	487
675	1013	485
676	1014	484
677	1015	482
678	1016	480
679	1017	478
680	1019	477
681	1021	476
682	1022	474
683	1023	472
684	1024	471
685	1026	469
686	1027	468
687	1028	466
688	1029	464
689	1030	463
690	1032	461
691	1033	460
692	1035	458
693	1036	457
694	1038	455
695	1039	453
696	1040	452
697	1041	450
698	1042	449
699	1043	447
700	1045	445
701	1046	444
702	1047	442
703	1049	441
704	1051	439
705	1052	438
706	1054	436
707	1055	435
708	1056	433
709	1057	431
710	1058	430
711	1059	428
712	1060	426
713	1061	425
714	1063	423
715	1065	422
716	1066	420
717	1067	419
718	1068	417
719	1069	416
720	1070	414
721	1072	412
722	1073	411
723	1074	409
724	1075	407
725	1076	406
726	1077	404
727	1079	403
728	1081	401
729	1082	400
730	1083	398
731	1085	397
732	1085	395
733	1086	393
734	1087	392
735	1088	390
736	1090	388
737	1090	387
738	1092	385
739	1094	384
740	1095	382
741	1096	381
742	1097	379
743	1098	378
744	1099	376
745	1100	374
746	1102	373
747	1103	371
748	1104	370
749	1105	368
750	1106	366
751	1107	365
752	1109	363
753	1110	362
754	1112	360
755	1113	359
756	1114	357
757	1115	356
758	1116	354
759	1117	352
760	1118	351
761	1119	349
762	1120	348
763	1122	346
764	1123	345
765	1125	343
766	1126	342
767	1127	340
768	1129	339
769	1130	337
770	1131	336
771	1133	334
772	1134	333
773	1135	331
774	1136	329
